state,city,station,latitude,longitude,aqi_category,aqi_label,hotspot_cluster,PM2.5,NO2
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,0,Good,0,17.0,8.0
Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027,1,Satisfactory,0,59.0,26.0
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13.20488,79.097889,1,Satisfactory,0,55.0,39.0
Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",16.711754,81.092095,1,Satisfactory,0,56.0,17.0
Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",16.316553,80.413302,1,Satisfactory,0,52.0,16.0
Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187,1,Satisfactory,0,53.0,21.0
Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",16.186555,81.13219,3,Poor,0,95.0,23.0
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176,0,Good,0,23.0,18.0
Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",13.67,79.35,1,Satisfactory,0,46.0,66.0
Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13.615387,79.40923,1,Satisfactory,0,59.0,31.0
Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.536107,80.594233,2,Moderate,0,72.0,22.0
Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16.486692,80.699436,1,Satisfactory,0,49.0,17.0
Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,2,Moderate,0,85.0,16.0
Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.554731,80.64911,1,Satisfactory,0,55.0,21.0
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,1,Satisfactory,0,46.0,47.0
Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",27.103358,93.679645,0,Good,0,13.0,6.0
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488,4,Very Poor,0,129.0,8.0
Assam,Guwahati,"IITG, Guwahati - PCBA",26.2028636,91.70046436,0,Good,0,26.0,1.0
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26.10887,91.589544,3,Poor,0,114.0,15.0
Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",26.1875,91.744194,1,Satisfactory,0,33.0,23.0
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26.181742,91.78063,1,Satisfactory,0,51.0,3.0
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26.349082,92.68449,2,Moderate,0,73.0,7.0
Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26.446912,91.439057,4,Very Poor,0,154.0,14.0
Assam,Silchar,"Tarapur, Silchar - PCBA",24.82827,92.79525,1,Satisfactory,0,32.0,24.0
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.987634,94.636574,0,Good,0,13.0,35.0
Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184,1,Satisfactory,0,50.0,2.0
Bihar,Arrah,"New DM Office, Arrah - BSPCB",25.5626095,84.663264,4,Very Poor,0,130.0,7.0
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",24.75746,84.366208,1,Satisfactory,0,42.0,8.0
Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",25.42742023,86.13886079,2,Moderate,0,70.0,13.0
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26.80365,84.51954,1,Satisfactory,0,58.0,8.0
Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001,4,Very Poor,0,134.0,9.0
Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947,1,Satisfactory,0,37.0,7.0
Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25.204762,85.51496,2,Moderate,0,63.0,9.0
Bihar,Buxar,"Charitra Van, Buxar - BSPCB",25.56752,83.966379,2,Moderate,0,73.0,9.0
Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768,2,Moderate,0,85.0,4.0
Bihar,Gaya,"Collectorate, Gaya - BSPCB",24.7955,84.9994,3,Poor,0,98.0,9.0
Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.792403,84.992416,2,Moderate,0,78.0,12.0
Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,2,Moderate,0,66.0,21.0
Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,4,Very Poor,0,206.0,22.0
Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.560083,87.553265,1,Satisfactory,0,42.0,9.0
Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336,1,Satisfactory,0,59.0,8.0
Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.308328,84.531742,3,Poor,0,111.0,5.0
Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051,3,Poor,0,98.0,5.0
Bihar,Munger,"Town Hall, Munger - BSPCB",25.376776,86.471523,1,Satisfactory,0,48.0,5.0
Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813,4,Very Poor,0,128.0,34.0
Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192,2,Moderate,0,90.0,5.0
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.1209,85.3647,3,Poor,0,96.0,10.0
Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586,2,Moderate,0,78.0,50.0
Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158,2,Moderate,0,76.0,16.0
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",25.610369,85.132568,4,Very Poor,0,173.0,2.0
Bihar,Patna,"Muradpur, Patna - BSPCB",25.619651,85.147382,4,Very Poor,0,209.0,11.0
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666,3,Poor,0,95.0,12.0
Bihar,Patna,"Samanpura, Patna - BSPCB",25.596727,85.085624,2,Moderate,0,87.0,45.0
Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",25.366336,87.117468,2,Moderate,0,76.0,6.0
Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",25.0328,85.41948,1,Satisfactory,0,54.0,14.0
Bihar,Saharsa,"Police Line, Saharsa - BSPCB",25.892357,86.590325,3,Poor,0,103.0,7.0
Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",25.859655,85.77944,4,Very Poor,0,122.0,8.0
Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",24.952822,84.002396,1,Satisfactory,0,49.0,4.0
Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",30.735567,76.775714,1,Satisfactory,0,49.0,15.0
Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",30.719859,76.738637,1,Satisfactory,0,60.0,70.0
Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",21.194815,81.31477,1,Satisfactory,0,53.0,34.0
Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",21.185571,81.343175,1,Satisfactory,0,40.0,11.0
Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",21.224231,81.40835,1,Satisfactory,0,57.0,44.0
Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",22.08815,82.13737,2,Moderate,0,81.0,33.0
Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",22.118125,83.140608,4,Very Poor,0,145.0,34.0
Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",22.348441,82.549611,5,Severe,0,318.0,28.0
Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",22.12665,83.483212,4,Very Poor,0,228.0,66.0
Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",22.1910172,83.5197009,2,Moderate,0,73.0,23.0
Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",21.258815,81.578979,1,Satisfactory,0,60.0,30.0
Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",21.237755,81.705301,1,Satisfactory,0,58.0,17.0
Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",21.371751,81.664929,2,Moderate,0,74.0,26.0
Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",22.06631475,83.33820077,4,Very Poor,0,242.0,23.0
Delhi,Delhi,"Alipur, Delhi - DPCC",28.815329,77.15301,4,Very Poor,0,152.0,38.0
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.647622,77.315809,4,Very Poor,0,228.0,23.0
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,4,Very Poor,0,159.0,60.0
Delhi,Delhi,"Aya Nagar, Delhi - IMD",28.4706914,77.1099364,3,Poor,0,120.0,41.0
Delhi,Delhi,"Bawana, Delhi - DPCC",28.7762,77.051074,4,Very Poor,0,183.0,30.0
Delhi,Delhi,"Burari Crossing, Delhi - IMD",28.7256504,77.2011573,4,Very Poor,0,127.0,75.0
Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737,4,Very Poor,0,134.0,64.0
Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",28.594169,77.1251,1,Satisfactory,0,38.0,74.0
Delhi,Delhi,"Chandni Chowk, Delhi - IITM",28.656756,77.227234,4,Very Poor,0,194.0,105.0
Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",28.615828,77.271992,4,Very Poor,0,158.0,57.0
Delhi,Delhi,"DTU, Delhi - CPCB",28.7500499,77.1112615,4,Very Poor,0,136.0,58.0
Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,4,Very Poor,0,149.0,56.0
Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006,4,Very Poor,0,139.0,83.0
Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053,2,Moderate,0,82.0,26.0
Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",28.493624,77.201159,4,Very Poor,0,166.0,1.0
Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234,4,Very Poor,0,157.0,81.0
Delhi,Delhi,"IIT Delhi, Delhi - IITM",28.54246,77.191651,3,Poor,0,104.0,42.0
Delhi,Delhi,"ITO, Delhi - CPCB",28.628624,77.24106,3,Poor,0,120.0,59.0
Delhi,Delhi,"JNU, Delhi - DPCC",28.540721,77.168544,3,Poor,0,116.0,36.0
Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,4,Very Poor,0,165.0,68.0
Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,3,Poor,0,114.0,65.0
Delhi,Delhi,"Lodhi Road, Delhi - IMD",28.5918245,77.2273074,3,Poor,0,105.0,29.0
Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,3,Poor,0,92.0,88.0
Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28.636429,77.201067,4,Very Poor,0,248.0,60.0
Delhi,Delhi,"Mundka, Delhi - DPCC",28.684678,77.076574,4,Very Poor,0,167.0,105.0
Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413,3,Poor,0,91.0,157.0
Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",28.594004,76.909423,4,Very Poor,0,141.0,48.0
Delhi,Delhi,"Narela, Delhi - DPCC",28.822836,77.101981,4,Very Poor,0,179.0,34.0
Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,4,Very Poor,0,154.0,60.0
Delhi,Delhi,"New Moti Bagh, Delhi - MHUA",28.57834,77.184,4,Very Poor,0,162.0,9.0
Delhi,Delhi,"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,4,Very Poor,0,121.0,101.0
Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255,4,Very Poor,0,145.0,78.0
Delhi,Delhi,"Patparganj, Delhi - DPCC",28.623763,77.287209,4,Very Poor,0,151.0,68.0
Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,4,Very Poor,0,150.0,45.0
Delhi,Delhi,"Pusa, Delhi - DPCC",28.639652,77.146275,3,Poor,0,120.0,80.0
Delhi,Delhi,"Pusa, Delhi - IMD",28.63611,77.173332,3,Poor,0,110.0,132.0
Delhi,Delhi,"R K Puram, Delhi - DPCC",28.563262,77.186937,4,Very Poor,0,171.0,63.0
Delhi,Delhi,"Rohini, Delhi - DPCC",28.732528,77.11992,4,Very Poor,0,160.0,35.0
Delhi,Delhi,"Shadipur, Delhi - CPCB",28.6514781,77.1473105,5,Severe,0,258.0,61.0
Delhi,Delhi,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,4,Very Poor,0,154.0,37.0
Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",28.710508,77.249485,4,Very Poor,0,146.0,38.0
Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,4,Very Poor,0,124.0,38.0
Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",28.62181,77.1944633,4,Very Poor,0,127.0,22.0
Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",28.672342,77.31526,4,Very Poor,0,190.0,56.0
Delhi,Delhi,"Wazirpur, Delhi - DPCC",28.699793,77.165453,4,Very Poor,0,163.0,84.0
Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",23.107969,72.574648,2,Moderate,0,82.0,18.0
Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",22.977134,72.553024,4,Very Poor,0,181.0,80.0
Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,3,Poor,0,92.0,88.0
Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,4,Very Poor,0,141.0,36.0
Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",23.041137,72.456691,4,Very Poor,0,207.0,19.0
Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",23.023389,72.515201,4,Very Poor,0,219.0,5.0
Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",23.076793,72.627874,2,Moderate,0,82.0,39.0
Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",21.613267,73.010555,3,Poor,0,95.0,20.0
Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21.755417,72.139056,1,Satisfactory,0,36.0,51.0
Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",23.163798,72.677768,2,Moderate,0,67.0,26.0
Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",23.243639,72.68994,2,Moderate,0,81.0,13.0
Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",23.221714,72.654328,4,Very Poor,0,163.0,27.0
Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",23.59315,72.372792,1,Satisfactory,0,56.0,46.0
Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",22.410802,73.097923,5,Severe,0,269.0,49.0
Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",22.248853,70.776774,1,Satisfactory,0,35.0,14.0
Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",21.217779,72.834787,2,Moderate,0,78.0,24.0
Gujarat,Surat,"Science Center, Surat - SMC",21.170046,72.795405,4,Very Poor,0,122.0,18.0
Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",22.320153,73.216285,2,Moderate,0,64.0,26.0
Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",20.362421,72.918013,1,Satisfactory,0,60.0,14.0
Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",22.969611,72.6435,4,Very Poor,0,133.0,101.0
Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",30.379589,76.778328,4,Very Poor,0,237.0,10.0
Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",28.3419248,77.319699,3,Poor,0,106.0,20.0
Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",28.806223,76.141105,2,Moderate,0,85.0,8.0
Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",28.593883,76.270653,3,Poor,0,99.0,16.0
Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",28.2068,76.7997,4,Very Poor,0,161.0,41.0
Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",28.39072,77.30059,4,Very Poor,0,191.0,25.0
Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",28.376058,77.315741,5,Severe,0,280.0,31.0
Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",28.4417,77.3217,3,Poor,0,112.0,38.0
Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",29.503664,75.467934,1,Satisfactory,0,38.0,19.0
Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",28.422681,77.148944,4,Very Poor,0,152.0,31.0
Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",28.4227,77.0667,5,Severe,0,291.0,6.0
Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,4,Very Poor,0,249.0,26.0
Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",29.14056,75.744941,0,Good,0,24.0,26.0
Haryana,Jind,"Police Lines, Jind - HSPCB",29.307814,76.337619,2,Moderate,0,84.0,34.0
Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",29.8006,76.4155,2,Moderate,0,73.0,31.0
Haryana,Karnal,"Sector-12, Karnal - HSPCB",29.6953,77.0027,3,Poor,0,102.0,6.0
Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",29.966942,76.875879,3,Poor,0,102.0,4.0
Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",27.9002,76.9938,2,Moderate,0,73.0,23.0
Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",28.360699,76.93609,4,Very Poor,0,222.0,37.0
Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",28.060249,76.113115,1,Satisfactory,0,57.0,49.0
Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",28.1485564,77.3320667,1,Satisfactory,0,56.0,24.0
Haryana,Panchgaon,"Amity University, Panchgaon - IITM",28.3153,76.9143,4,Very Poor,0,124.0,20.0
Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,1,Satisfactory,0,31.0,24.0
Haryana,Panipat,"Sector-18, Panipat - HSPCB",29.432304,76.972765,1,Satisfactory,0,58.0,31.0
Haryana,Rohtak,"MD University, Rohtak - HSPCB",28.52123,76.37138,3,Poor,0,102.0,12.0
Haryana,Sirsa,"F-Block, Sirsa - HSPCB",29.5364,75.0158,2,Moderate,0,79.0,22.0
Haryana,Sonipat,"Murthal, Sonipat - HSPCB",29.0272,77.0621,4,Very Poor,0,136.0,12.0
Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",30.1480566,77.2893471,4,Very Poor,0,182.0,16.0
Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991,3,Poor,0,119.0,24.0
Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC",34.031606,75.009712,1,Satisfactory,0,60.0,30.0
Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC",34.066206,74.81982,0,Good,0,26.0,23.0
Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",23.80569,86.44268,2,Moderate,0,72.0,81.0
